1,T4,顺丰特快
2,T6,顺丰标快
6,T104,顺丰即日
10,T14,国际小包
12,T7,国际特惠配送
23,T9,顺丰国际特惠(文件)
24,T9,顺丰国际特惠(包裹)
29,T7,国际电商专递-标准
30,T4,三号便利箱(特快)
31,T4,便利封/袋(特快)
32,T4,二号便利箱(特快)
33,T4,岛内件(80CM)
35,T23,物资配送
39,T4,岛内件(110CM)
50,T4,千点取60
53,T4,电商盒子F1
54,T4,电商盒子F2
59,SP202,E顺递
60,T4,顺丰特快（文件）
61,T4,C1类包裹
111,T36,顺丰干配
153,T12,整车直达
154,T6,重货包裹
155,T6,标准零担
199,T4,特快包裹
201,T15,冷运标快
202,T4,顺丰微小件
209,T112,高铁专送
215,T39,大票直送
221,T15,香港冷运到家(≤60厘米)
229,T57,精温专递
231,T6,陆运包裹
233,T56,精温专递（样本陆）
235,T66,极效前置-预售
238,T29,纯重特配
242,T77,丰网速运
247,T68,电商标快
250,T70,极置店配
255,T28,顺丰卡航
256,T28,顺丰卡航（D类）
257,T4,退换上门
258,T4,退换自寄
260,T68,入仓电标
261,T68,O2O店配
263,T11,同城半日达
265,T67,预售电标
266,T5,顺丰空配（新）
283,T75,填舱标快
285,T76,填舱电标
